Value,Disaggregation combinations using this value,Number of indicators
Administration Professionals,1,1
Business and Administration Associate Professionalss,1,1
General and Keyboard Clerks,1,1
Higher courts,1,1
Judges of the Constitutional Court,1,1
Judges,1,1
Lower courts,1,1
Senior Managers and other Managers,1,1
Total national-level public service personnel,8,1
