Value,Disaggregation combinations using this value,Number of indicators
A right to land development,1,1
Common jointly ownership,1,1
Common shared ownership,1,1
Gratuitous use,1,1
Having the right to purchase immovable property under construction,1,1
Lease,1,1
Ownership,1,1
Pledge,1,1
Right of constructor or unauthorised buidlings,1,1
Servitude,1,1
Sublease,1,1
Trust management,1,1
Use of the residential premises,1,1
Use of unauthorised,1,1
Use,1,1
