Indicator
#1-2-2
#1-3-1
#1-3-1-b
#1-3-1-h
#1-3-1-j
#1-3-1-jb
#1-a-2
#10-1-1
#11-1-1-a
#12-2-2-a
#12-3-1-a
#12-8-1
#13-3-1
#15-1-2
#16-2-2
#16-6-2
#17-19-2
#17-6-1
#2-2-2
#2-4-1-a
#3-2-2
#3-4-1
#3-7-1
#3-9-1
#3-9-2
#3-c-1
#4-6-1
#4-7-1
#4-a-1
#5-2-1
#5-5-1
#5-a-1-b-a-1
#5-a-1-b-a-2
#8-3-1
#8-4-2-a
#8-5-2
#8-6-1
#9-1-2
#9-2-1
#9-2-2
#9-c-1
