Year,Units,Value
2015,մլն. ԱՄՆ դոլար,43.33
2016,մլն. ԱՄՆ դոլար,38.13
2017,մլն. ԱՄՆ դոլար,91.09
2018,մլն. ԱՄՆ դոլար,71.29
2019,մլն. ԱՄՆ դոլար,7.03
2020,մլն. ԱՄՆ դոլար,12.6
2021,մլն. ԱՄՆ դոլար,19.01
2022,մլն. ԱՄՆ դոլար,23.64
2023,մլն. ԱՄՆ դոլար,23.38
