Year,Units,Место нахождения,Value
2015,%,,76.6
2022,%,,78.4
2022,%,город,98.1
2022,%,село,48.9
2023,%,,79.2
2023,%,город,96.6
2023,%,село,53.8
2024,%,,85.4
2024,%,город,98.9
2024,%,село,60.4
