Year,Units,Пол,Value
2015,человек,,45.0
2016,человек,,59.0
2017,человек,,57.0
2018,человек,,42.0
2019,человек,,27.0
2020,человек,,24.0
2015,человек,мужчина,38.0
2016,человек,мужчина,53.0
2017,человек,мужчина,56.0
2018,человек,мужчина,39.0
2019,человек,мужчина,25.0
2020,человек,мужчина,21.0
2015,человек,женщина,7.0
2016,человек,женщина,6.0
2017,человек,женщина,1.0
2018,человек,женщина,3.0
2019,человек,женщина,2.0
2020,человек,женщина,3.0
2021,человек,,19.0
2021,человек,мужчина,19.0
2021,человек,женщина,
2022,человек,,21.0
2022,человек,мужчина,16.0
2022,человек,женщина,5.0
2023,человек,,19.0
2023,человек,мужчина,18.0
2023,человек,женщина,1.0
2024,человек,,30.0
2024,человек,мужчина,25.0
2024,человек,женщина,5.0
