Year,Indicator,Units,Value
2015,,%,0.25
2016,,%,0.24
2017,,%,0.22
2018,,%,0.18
2019,,%,0.18
2020,,%,0.2
2021,,%,0.21
2022,,%,0.2
2023,,%,0.17
