Year,Value,Units,Series
2020,0.06,%,Direct economic loss attributed to disasters in relation to GDP
2020,7452653.7,USD,Direct agricultural loss attributed to disasters
2020,465918.9,USD,Direct economic loss in the housing sector attributed to disasters
2020,8188.6,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2020,0.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2021,0.1,%,Direct economic loss attributed to disasters in relation to GDP
2021,15084840.8,USD,Direct agricultural loss attributed to disasters
2021,571959.8,USD,Direct economic loss in the housing sector attributed to disasters
2021,6697.5,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2021,0.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2022,0.01,%,Direct economic loss attributed to disasters in relation to GDP
2022,1167056.9,USD,Direct agricultural loss attributed to disasters
2022,351652.8,USD,Direct economic loss in the housing sector attributed to disasters
2022,39002.5,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2022,0.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2023,0.01,%,Direct economic loss attributed to disasters in relation to GDP
2023,1850069.3,USD,Direct agricultural loss attributed to disasters
2023,276292.6,USD,Direct economic loss in the housing sector attributed to disasters
2023,11452.8,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2023,305.8,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2024,0.2,%,Direct economic loss attributed to disasters in relation to GDP
2024,14847759.6,USD,Direct agricultural loss attributed to disasters
2024,6160984.8,USD,Direct economic loss in the housing sector attributed to disasters
2024,24491841.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2024,0.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2024,6209617.6,USD,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters
2020,0.0,USD,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters
2021,0.0,USD,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters
2022,0.0,USD,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters
2023,0.0,USD,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters
