Year,Value,Units
2015,579.9,"1,000 tons"
2016,523.4,"1,000 tons"
2017,499.0,"1,000 tons"
2018,363.0,"1,000 tons"
2019,273.8,"1,000 tons"
2020,256.1,"1,000 tons"
2021,217.2,"1,000 tons"
2022,211.9,1000 tons
