Year,Value,Units,Series
2015,1.48,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2017,3.97,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2018,5.66,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2019,5.02,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2020,5.1,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2021,5.64,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2022,5.37,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2023,5.78,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
2024,6.6,%,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted
