Year,Value,Units
2015,173.5,mln. USD
2016,142.6,mln. USD
2017,177.7,mln. USD
2018,195.0,mln. USD
2019,-38.8,mln. USD
2020,-88.3,mln. USD
2021,255.2,mln. USD
2022,417.3,mln. USD
2023,644.5,mln. USD
2024,-120.9,mln. USD
