Year,Units,Value
2015,ватт,429.11
2016,ватт,439.29
2017,ватт,447.76
2018,ватт,457.15
2019,ватт,468.22
2020,ватт,488.89
2021,ватт,518.09
2022,ватт,593.52
2023,ватт,620.46
2024,ватт,674.06
