Year,Units,Value
2013,миллион долларов США,5.2
2014,миллион долларов США,4.6
2015,миллион долларов США,3.8
2016,миллион долларов США,3.7
2017,миллион долларов США,6.6
2018,миллион долларов США,4.9
2019,миллион долларов США,5.8
2020,миллион долларов США,4.5
2021,миллион долларов США,4.3
2022,миллион долларов США,4.4
