Year,Units,Value
2015,тысяч тонн,492.8
2016,тысяч тонн,499.7
2017,тысяч тонн,493.9
2018,тысяч тонн,469.9
2019,тысяч тонн,472.8
2020,тысяч тонн,573.9
2021,тысяч тонн,487.4
2022,тысяч тонн,532.7
2023,тысяч тонн,433.3
2024,тысяч тонн,636.8
