Year,Units,Категория,вид транспорта,Value
2024,"1,000 человек",,железнодорожный транспорт,563.6
2024,"1,000 человек",,автомобильный транспорт,183710.9
2024,"1,000 человек",,of which  passenger taxi,1015.2
2024,"1,000 человек",,воздушный транспорт,5352.9
2024,"1,000 человек",,электротранспорт,35426.4
2024,"1,000 тонна",объем грузоперевозок,,16831.5
2024,"1,000 тонна",,железнодорожный транспорт,1442.5
2024,"1,000 тонна",,автомобильный транспорт,13389.6
2024,"1,000 тонна",,воздушный транспорт,42.2
2024,"1,000 тонна",,магистральный трубопроводный транспорт,1957.2
