Year,Units,Категория,Value
2015,%,доля ВВП,9.2
2016,%,доля ВВП,10.3
2017,%,доля ВВП,10.6
2015,драм,на душу населения,155428.0
2016,драм,на душу населения,175543.5
2017,драм,на душу населения,200552.0
2018,%,доля ВВП,11.3
2018,драм,на душу населения,231156.2
2019,%,доля ВВП,11.7
2019,драм,на душу населения,262142.3
2020,%,доля ВВП,12.3
2020,драм,на душу населения,261281.3
2021,%,доля ВВП,11.0
2021,драм,на душу населения,264000.7
2022,%,доля ВВП,11.4
2022,драм,на душу населения,331752.5
2023,%,доля ВВП,10.2
2023,драм,на душу населения,327888.5
2024,%,доля ВВП,9.5
2024,драм,на душу населения,320043.6
2025,%,доля ВВП,10.4
2025,драм,на душу населения,381932.7
