Year,Series,Units,Возраст,Пол,Вид деятельности,Value
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-6,400.43
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-7,546.17
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-8,588.44
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-9,433.45
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,всего,519.89
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-1,930.49
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-2,675.51
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-3,465.7
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-4,461.56
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-5,376.98
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-6,399.17
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-7,411.44
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-8,492.0
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-9,395.72
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,всего,661.29
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-1,884.29
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-2,937.82
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-3,751.8
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-4,605.36
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-5,553.62
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-6,401.27
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-7,597.21
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-8,594.59
2017,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,isco08-9,469.84
