Year,Group,Value
2019,дошкольное,75.9
2020,дошкольное,75.1
2021,дошкольное,74.7
2022,дошкольное,72.9
2023,дошкольное,74.3
2019,nачальное,73.6
2020,nачальное,75.1
2021,nачальное,73.9
2022,nачальное,81.3
2023,nачальное,84.1
2019,nеполное среднее,73.6
2020,nеполное среднее,75.1
2021,nеполное среднее,73.8
2022,nеполное среднее,81.3
2023,nеполное среднее,84.1
2019,pолное среднее,75.4
2020,pолное среднее,77.1
2021,pолное среднее,76.0
2022,pолное среднее,83.0
2023,pолное среднее,85.8
