Year,Units,Value
2015,1000 долларов США,4422.53
2016,1000 долларов США,4607.0
2017,1000 долларов США,11799.49
2018,1000 долларов США,98302.93
2019,1000 долларов США,460342.24
2020,1000 долларов США,4703.12
2021,1000 долларов США,5090.0
2022,1000 долларов США,7559.2
2023,1000 долларов США,5521.4
2024,1000 долларов США,9842.5
