Year,Units,Категория,Пол,Value
2015,"на 1,000 живорожденных",0-28 дней,,6.3
2016,"на 1,000 живорожденных",0-28 дней,,6.1
2017,"на 1,000 живорожденных",0-28 дней,,6.2
2018,"на 1,000 живорожденных",0-28 дней,,5.0
2019,"на 1,000 живорожденных",0-28 дней,,4.7
2020,"на 1,000 живорожденных",0-28 дней,,5.6
2021,"на 1,000 живорожденных",0-28 дней,,4.9
