Year,Units,Առարկա,Value
2018,%,մաթեմատիկա,99.7
2019,%,մաթեմատիկա,99.5
2021,%,մաթեմատիկա,99.92
2022,%,մաթեմատիկա,99.9
2023,%,մաթեմատիկա,99.3
