Year,Group,category,sex,Units,Value
2024,"16.7.1b: Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions.",national-level public service personnel,,Total,39.8
2024,"16.7.1b: Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions.",,male,,19.4
2024,"16.7.1b: Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions.",,female,,20.4
