Year,Units,Value
2015,մարդ,17.2
2016,մարդ,16.5
2017,մարդ,16.2
2018,մարդ,18.1
2019,մարդ,16.8
2020,մարդ,17.1
2021,մարդ,17.0
2022,մարդ,16.9
2023,մարդ,17.2
2024,մարդ,16.5
