Year,Value,Units
2015,492.8,thsd. tones
2016,499.7,thsd. tones
2017,493.9,thsd. tones
2018,469.9,thsd. tones
2019,472.8,thsd. tones
2020,573.9,thsd. tones
2021,487.4,thsd. tones
2022,532.7,thsd. tones
2023,433.3,thsd. tones
2024,636.8,thsd. tones
