Year,Value,Units,Series
2022,0.5625,%,Proportion of safely treated domestic wastewater flows
2024,0.5564,%,Proportion of safely treated domestic wastewater flows
2022,225.5,million m3/year,Total wastewater generated
2022,112.4,million m3/year,Total wastewater treated
2022,49.8,%,Proportion of wastewater treated
2022,0.4,million m3/year,Total wastewater safely treated
2022,0.177,%,Proportion of wastewater safely treated
