Year,Группа,Units,Value
2015,,млн. долл. США,2.3544
2016,,млн. долл. США,146.4142
2017,,млн. долл. США,25.0052
2018,,млн. долл. США,30.9129
2019,,млн. долл. США,59.5674
2020,,млн. долл. США,3.1521
2021,,млн. долл. США,30.3691
2022,,млн. долл. США,6.8295
2023,,млн. долл. США,6.8261
