Year,Units,Value
2015,USD/m3,2.55
2016,USD/m3,2.666
2017,USD/m3,3.217
2018,USD/m3,3.657
2019,USD/m3,3.665
2020,USD/m3,3.505
2021,USD/m3,3.86
2022,USD/m3,4.23
2023,USD/m3,4.52
