Year,Units,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",,8.86
2016,"1,000 կենդանածնի հաշվով",,8.67
2017,"1,000 կենդանածնի հաշվով",,8.17
2018,"1,000 կենդանածնի հաշվով",,7.13
2019,"1,000 կենդանածնի հաշվով",,6.07
2020,"1,000 կենդանածնի հաշվով",,7.4
2021,"1,000 կենդանածնի հաշվով",,6.9
