Year,Units,Տեսակ,Value
2015,%,,75.2
2015,%,միայնակ,1.6
2015,%,մեկ ուրիշի հետ համատեղ,13.1
2015,%,միայնակ և մեկ ուրիշի հետ համատեղ,1.0
