Year,Units,Value
2015,"100,000  բնակչի հաշվով",0.4
2016,"100,000  բնակչի հաշվով",0.3
2017,"100,000  բնակչի հաշվով",0.3
2015,դեպք,12.0
2016,դեպք,8.0
2017,դեպք,10.0
2018,"100,000  բնակչի հաշվով",0.9
2018,դեպք,28.0
2019,"100,000  բնակչի հաշվով",1.3
2019,դեպք,39.0
2020,"100,000  բնակչի հաշվով",0.3
2020,դեպք,10.0
