Year,Խումբ,միավոր,category,Value
2020,,հարցման ինդեքս,a) in narional education policy,0.875
2020,,հարցման ինդեքս,b) in curricula,0.7005
2020,,հարցման ինդեքս,c) in teacher training,0.85
2020,,հարցման ինդեքս,d) in student assessment,0.8333
