Year,Units,Կատեգորիա,Value
2015,"1,000 տոննա",Պարենի կորուստ,579.9
2016,"1,000 տոննա",Պարենի կորուստ,523.4
2017,"1,000 տոննա",Պարենի կորուստ,499.0
2018,"1,000 տոննա",Պարենի կորուստ,363.0
2019,"1,000 տոննա",Պարենի կորուստ,273.8
2020,"1,000 տոննա",Պարենի կորուստ,256.1
2021,"1,000 տոննա",Պարենի կորուստ,217.2
2022,"1,000 տոննա",Պարենի կորուստ,211.9
2023,"1,000 տոննա",Պարենի կորուստ,232.9
2015,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,4.0
2016,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,3.9
2017,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,3.9
2018,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,3.7
2019,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,3.3
2020,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,3.0
2021,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,2.6
2022,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,2.7
2023,%,Պարենի կորստի մասնաբաժինն ամբողջական առաջարկում,2.9
