Year,Units,Սեռ,Value
2015,%,,90.6
2016,%,,90.7
2017,%,,89.3
2018,%,,89.2
2019,%,,87.72
2020,%,,87.01
2015,%,արական,89.5
2016,%,արական,90.1
2017,%,արական,88.6
2018,%,արական,87.84
2019,%,արական,86.71
2020,%,արական,85.94
2015,%,իգական,91.9
2016,%,իգական,91.4
2017,%,իգական,91.1
2018,%,իգական,90.81
2019,%,իգական,88.87
2020,%,իգական,88.22
