Year,Units,Value
2013,միլիոն ԱՄՆ դոլար,5.2
2014,միլիոն ԱՄՆ դոլար,4.6
2015,միլիոն ԱՄՆ դոլար,3.8
2016,միլիոն ԱՄՆ դոլար,3.7
2017,միլիոն ԱՄՆ դոլար,6.6
2018,միլիոն ԱՄՆ դոլար,4.9
2019,միլիոն ԱՄՆ դոլար,5.8
2020,միլիոն ԱՄՆ դոլար,4.5
2021,միլիոն ԱՄՆ դոլար,4.3
2022,միլիոն ԱՄՆ դոլար,4.4
