Year,Units,Սեռ,Տարիք,Value
2022,մարդ,կին,10-15 տարեկան,1
2022,մարդ,,16-17 տարեկան,9
2022,մարդ,տղամարդ,16-17 տարեկան,2
2022,մարդ,կին,16-17 տարեկան,7
2023,մարդ,,,16
2023,մարդ,,,11
2023,մարդ,,,5
2023,մարդ,,մինչև 1 տարեկան,2
2023,մարդ,,մինչև 1 տարեկան,2
2023,մարդ,,մինչև 1 տարեկան,0
2023,մարդ,,1-6 տարեկան,4
2023,մարդ,,1-6 տարեկան,3
2023,մարդ,,1-6 տարեկան,1
2023,մարդ,,7-9 տարեկան,0
2023,մարդ,,7-9 տարեկան,0
2023,մարդ,,7-9 տարեկան,0
2023,մարդ,,10-15 տարեկան,6
2023,մարդ,,10-15 տարեկան,4
2023,մարդ,,10-15 տարեկան,2
2023,մարդ,,16-17 տարեկան,4
2023,մարդ,,16-17 տարեկան,2
2023,մարդ,,16-17 տարեկան,2
2024,մարդ,,,29
2024,մարդ,boys,,18
2024,մարդ,girls,,11
2024,մարդ,,մինչև 1 տարեկան,2
2024,մարդ,boys,մինչև 1 տարեկան,1
2024,մարդ,girls,մինչև 1 տարեկան,1
2024,մարդ,,1-6 տարեկան,6
2024,մարդ,boys,1-6 տարեկան,4
2024,մարդ,girls,1-6 տարեկան,2
2024,մարդ,,7-9 տարեկան,9
2024,մարդ,boys,7-9 տարեկան,4
2024,մարդ,girls,7-9 տարեկան,5
2024,մարդ,,10-15 տարեկան,6
2024,մարդ,boys,10-15 տարեկան,5
2024,մարդ,girls,10-15 տարեկան,1
2024,մարդ,,16-17 տարեկան,6
2024,մարդ,boys,16-17 տարեկան,4
2024,մարդ,girls,16-17 տարեկան,2
