Year,Խումբ,Units,Value
2015,,մլն. ԱՄՆ դոլար,2.3544
2016,,մլն. ԱՄՆ դոլար,146.4142
2017,,մլն. ԱՄՆ դոլար,25.0052
2018,,մլն. ԱՄՆ դոլար,30.9129
2019,,մլն. ԱՄՆ դոլար,59.5674
2020,,մլն. ԱՄՆ դոլար,3.1521
2021,,մլն. ԱՄՆ դոլար,30.3691
2022,,մլն. ԱՄՆ դոլար,6.8295
2023,,մլն. ԱՄՆ դոլար,6.8261
