Year,Ցուցանիշ,Units,Value
2015,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,184.1
2016,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,333.8
2017,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,252.7
2018,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,266.9
2019,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,100.3
2020,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,58.6
2021,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,366.4
2022,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,975.7
2023,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,580.4
2024,Foreign direct investment (FDI) inflows,մլն. ԱՄՆ դոլար,131.6
