Year,Ցուցանիշ,Units,Value
2015,Լեյշմանիոզով հիվանդների թիվ,մարդ,18.0
2016,Լեյշմանիոզով հիվանդների թիվ,մարդ,18.0
2017,Լեյշմանիոզով հիվանդների թիվ,մարդ,17.0
2018,Լեյշմանիոզով հիվանդների թիվ,մարդ,17.0
2019,Լեյշմանիոզով հիվանդների թիվ,մարդ,17.0
2020,Լեյշմանիոզով հիվանդների թիվ,մարդ,16.0
2021,Լեյշմանիոզով հիվանդների թիվ,մարդ,11.0
2022,Լեյշմանիոզով հիվանդների թիվ,մարդ,14.0
2023,Լեյշմանիոզով հիվանդների թիվ,մարդ,30.0
2015,Լեյշմանիոզից մահվան դեպքեր,դեպք,0.0
