Year,Units,Գտնվելու վայրը,Value
2015,%,,76.6
2022,%,,78.4
2022,%,քաղաք,98.1
2022,%,գյուղ,48.9
2023,%,,79.2
2023,%,քաղաք,96.6
2023,%,գյուղ,53.8
