Year,Series,Units,Value
2015,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.22
2016,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2017,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2018,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2019,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2020,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2021,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2022,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,1.4
2023,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,0.73
2024,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,կոդավորված գնահատման չափանիշների քանակը,0.73
