Year,Series,Units,Value
2015,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,57.0
2016,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,55.0
2017,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,52.0
2018,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,50.0
2019,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,
2020,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,59.0
2021,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,
2022,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,60.0
2023,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,
2024,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս,Ինդեքս 0-ից մինչև 100,63.0
2016,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,60.24
2017,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,60.64
2018,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,59.94
2019,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,58.29
2020,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,59.24
2021,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,65.88
2022,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,64.56
2023,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն),0 to 100 scale,64.56
2016,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,75.0
2017,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,80.0
2018,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,85.0
2019,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,85.0
2020,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,85.0
2021,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,90.0
2022,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,90.0
2023,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն),0 to 100 scale,90.0
