Year,Units,Կատեգորիա,Value
2015,%,ՀՆԱ-ի համամասնությունը,9.2
2016,%,ՀՆԱ-ի համամասնությունը,10.3
2017,%,ՀՆԱ-ի համամասնությունը,10.6
2015,դրամ,մեկ շնչի հաշվով,155428.0
2016,դրամ,մեկ շնչի հաշվով,175543.5
2017,դրամ,մեկ շնչի հաշվով,200552.0
2018,%,ՀՆԱ-ի համամասնությունը,11.3
2018,դրամ,մեկ շնչի հաշվով,231156.2
2019,%,ՀՆԱ-ի համամասնությունը,11.7
2019,դրամ,մեկ շնչի հաշվով,262142.3
2020,%,ՀՆԱ-ի համամասնությունը,12.3
2020,դրամ,մեկ շնչի հաշվով,261281.3
2021,%,ՀՆԱ-ի համամասնությունը,11.0
2021,դրամ,մեկ շնչի հաշվով,264000.7
2022,%,ՀՆԱ-ի համամասնությունը,11.4
2022,դրամ,մեկ շնչի հաշվով,331752.5
2023,%,ՀՆԱ-ի համամասնությունը,10.2
2023,դրամ,մեկ շնչի հաշվով,327888.5
2024,%,ՀՆԱ-ի համամասնությունը,9.5
2024,դրամ,մեկ շնչի հաշվով,320043.6
2025,%,ՀՆԱ-ի համամասնությունը,10.4
2025,դրամ,մեկ շնչի հաշվով,381932.7
