Year,Units,Գտնվելու վայրը,Value
2015,%,,99.6
2016,%,,99.8
2017,%,,99.7
2018,%,,99.9
2019,%,,100.0
2020,%,,100.0
2021,%,,100.0
2015,%,քաղաք,95.5
2016,%,քաղաք,99.8
2017,%,քաղաք,99.8
2018,%,քաղաք,99.9
2019,%,քաղաք,100.0
2020,%,քաղաք,100.0
2021,%,քաղաք,100.0
2015,%,գյուղ,96.7
2016,%,գյուղ,99.7
2017,%,գյուղ,99.7
2018,%,գյուղ,99.9
2019,%,գյուղ,100.0
2020,%,գյուղ,100.0
2021,%,գյուղ,100.0
2022,%,,100.0
2022,%,քաղաք,100.0
2022,%,գյուղ,100.0
2023,%,,100.0
2023,%,քաղաք,100.0
2023,%,գյուղ,100.0
