Year,Units,Value
2015,լիտր,5.33
2016,լիտր,5.04
2017,լիտր,4.83
2018,լիտր,4.61
2019,լիտր,0.27
2020,լիտր,0.49
2021,լիտր,0.15
2022,լիտր,0.15
2023,լիտր,0.2
