Year,Ցուցանիշ,Units,Value
2015,,Ինդեքս 0-ից մինչև 100,57.0
2016,,Ինդեքս 0-ից մինչև 100,55.0
2017,,Ինդեքս 0-ից մինչև 100,52.0
2018,,Ինդեքս 0-ից մինչև 100,50.0
2019,,Ինդեքս 0-ից մինչև 100,
2020,,Ինդեքս 0-ից մինչև 100,59.0
2021,,Ինդեքս 0-ից մինչև 100,
2022,,Ինդեքս 0-ից մինչև 100,60.0
2023,,Ինդեքս 0-ից մինչև 100,
2024,,Ինդեքս 0-ից մինչև 100,63.0
