Year,Խումբ,Units,Value
2015,Armenia,մլն. ԱՄՆ դոլար,2.3544
2016,Armenia,մլն. ԱՄՆ դոլար,146.4142
2017,Armenia,մլն. ԱՄՆ դոլար,25.0052
2018,Armenia,մլն. ԱՄՆ դոլար,30.9129
2019,Armenia,մլն. ԱՄՆ դոլար,59.5674
2020,Armenia,մլն. ԱՄՆ դոլար,3.1521
2021,Armenia,մլն. ԱՄՆ դոլար,30.3691
2022,Armenia,մլն. ԱՄՆ դոլար,6.8295
2023,Armenia,մլն. ԱՄՆ դոլար,6.8261
