Year,Units,Category,Value
2015,%,proportion of GDP,9.2
2016,%,proportion of GDP,10.3
2017,%,proportion of GDP,10.6
2015,dram,per capita,155428.0
2016,dram,per capita,175543.5
2017,dram,per capita,200552.0
2018,%,proportion of GDP,11.3
2018,dram,per capita,231156.2
2019,%,proportion of GDP,11.7
2019,dram,per capita,262142.3
2020,%,proportion of GDP,12.3
2020,dram,per capita,261281.3
2021,%,proportion of GDP,11.0
2021,dram,per capita,264000.7
2022,%,proportion of GDP,11.4
2022,dram,per capita,331752.5
2023,%,proportion of GDP,10.2
2023,dram,per capita,327888.5
2024,%,proportion of GDP,9.5
2024,dram,per capita,320043.6
2025,%,proportion of GDP,10.4
2025,dram,per capita,381932.7
