Year,Group,Value
2020,Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,12.1
2021,Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,9.4
2022,Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,9.1
2023,Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,14.3
