Year,Value,Units
2015,445.4,"на 100,000 населения"
2016,506.6,"на 100,000 населения"
2017,444.1,"на 100,000 населения"
2018,436.4,"на 100,000 населения"
2019,608.9,"на 100,000 населения"
2020,5930.6,"на 100,000 населения"
2021,6678.2,"на 100,000 населения"
2022,4135.3,"на 100,000 населения"
2023,740.4,"на 100,000 населения"
2024,653.8,"на 100,000 населения"
