Year,Value,Units,Series
2015,240.726,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2016,198.952,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2017,237.62,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2018,115.731,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2019,84.4021,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2020,102.029,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2021,194.551,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2022,254.316,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2023,97.0976,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2024,61.1282,millions of constant 2024 United States dollars,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
