Year,Value,Units
2015,1.7,"на 100,000 населения"
2016,2.2,"на 100,000 населения"
2017,1.6,"на 100,000 населения"
2018,1.2,"на 100,000 населения"
2019,1.6,"на 100,000 населения"
2020,1.7,"на 100,000 населения"
2021,2.0,"на 100,000 населения"
2022,1.9,"на 100,000 населения"
2023,1.8,"на 100,000 населения"
2024,2.0,"на 100,000 населения"
