Year,Value,Units
2013,5.2,миллион долларов США
2014,4.6,миллион долларов США
2015,3.8,миллион долларов США
2016,3.7,миллион долларов США
2017,6.6,миллион долларов США
2018,4.9,миллион долларов США
2019,5.8,миллион долларов США
2020,4.5,миллион долларов США
2021,4.3,миллион долларов США
2022,4.4,миллион долларов США
