Year,Value,Units,Series
2015,13,число,Количество местных пород с неизвестным статусом риска
2016,13,число,Количество местных пород с неизвестным статусом риска
2017,13,число,Количество местных пород с неизвестным статусом риска
2018,13,число,Количество местных пород с неизвестным статусом риска
2019,13,число,Количество местных пород с неизвестным статусом риска
2020,13,число,Количество местных пород с неизвестным статусом риска
2021,13,число,Количество местных пород с неизвестным статусом риска
2022,13,число,Количество местных пород с неизвестным статусом риска
2023,13,число,Количество местных пород с неизвестным статусом риска
2024,13,число,Количество местных пород с неизвестным статусом риска
2025,13,число,Количество местных пород с неизвестным статусом риска
2015,13,число,Количество местных пород (не вымерших)
2016,13,число,Количество местных пород (не вымерших)
2017,13,число,Количество местных пород (не вымерших)
2018,13,число,Количество местных пород (не вымерших)
2019,13,число,Количество местных пород (не вымерших)
2020,13,число,Количество местных пород (не вымерших)
2021,13,число,Количество местных пород (не вымерших)
2022,13,число,Количество местных пород (не вымерших)
2023,13,число,Количество местных пород (не вымерших)
2024,13,число,Количество местных пород (не вымерших)
2025,13,число,Количество местных пород (не вымерших)
2015,24,число,Количество трансграничных пород (не вымерших)
2016,24,число,Количество трансграничных пород (не вымерших)
2017,24,число,Количество трансграничных пород (не вымерших)
2018,24,число,Количество трансграничных пород (не вымерших)
2019,24,число,Количество трансграничных пород (не вымерших)
2020,24,число,Количество трансграничных пород (не вымерших)
2021,24,число,Количество трансграничных пород (не вымерших)
2022,24,число,Количество трансграничных пород (не вымерших)
2023,24,число,Количество трансграничных пород (не вымерших)
2024,24,число,Количество трансграничных пород (не вымерших)
2025,24,число,Количество трансграничных пород (не вымерших)
2015,24,число,Количество трансграничных пород с неизвестным статусом риска
2016,24,число,Количество трансграничных пород с неизвестным статусом риска
2017,24,число,Количество трансграничных пород с неизвестным статусом риска
2018,24,число,Количество трансграничных пород с неизвестным статусом риска
2019,24,число,Количество трансграничных пород с неизвестным статусом риска
2020,24,число,Количество трансграничных пород с неизвестным статусом риска
2021,24,число,Количество трансграничных пород с неизвестным статусом риска
2022,24,число,Количество трансграничных пород с неизвестным статусом риска
2023,24,число,Количество трансграничных пород с неизвестным статусом риска
2024,24,число,Количество трансграничных пород с неизвестным статусом риска
2025,24,число,Количество трансграничных пород с неизвестным статусом риска
