Year,Value,Units
2015,11.5,"на 100,000 населения"
2016,8.9,"на 100,000 населения"
2017,9.4,"на 100,000 населения"
2018,11.6,"на 100,000 населения"
2019,11.5,"на 100,000 населения"
2020,11.8,"на 100,000 населения"
2015,346.0,человек
2016,267.0,человек
2017,279.0,человек
2018,343.0,человек
2019,341.0,человек
2020,348.0,человек
2021,368.0,человек
2021,12.4,"на 100,000 населения"
2022,321.0,человек
2022,10.8,"на 100,000 населения"
2023,12.8,"на 100,000 населения"
2023,378.0,человек
2024,11.0,"на 100,000 населения"
2024,333.0,человек
