Year,Value,Units
2015,43.33,млн. долл. США
2016,38.13,млн. долл. США
2017,91.09,млн. долл. США
2018,71.29,млн. долл. США
2019,7.03,млн. долл. США
2020,12.6,млн. долл. США
2021,19.01,млн. долл. США
2022,23.64,млн. долл. США
2023,23.38,млн. долл. США
