Year,Value,Units,Series
2015,57.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2016,55.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2017,52.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2018,50.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2019,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2020,59.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2021,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2022,60.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2023,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2024,63.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2016,60.24,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2017,60.64,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2018,59.94,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2019,58.29,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2020,59.24,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2021,65.88,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2022,64.56,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2023,64.56,0 to 100 scale,"Индекс эффективности источников данных (Статистические показатели эффективности, столп 4)"
2016,75.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2017,80.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2018,85.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2019,85.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2020,85.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2021,90.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2022,90.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
2023,90.0,0 to 100 scale,"Индекс эффективности инфраструктуры данных (Статистические показатели эффективности, столп 5)"
