Year,Units,Категория,Value
2015,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.1
2016,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2017,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2018,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2019,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.1
2020,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.1
2015,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,6.2
2016,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,5.9
2017,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,5.8
2018,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,5.9
2019,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,5.8
2020,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,5.7
2015,%,равно или выше скорости 10 Мбит/с,3.2
2016,%,равно или выше скорости 10 Мбит/с,3.9
2017,%,равно или выше скорости 10 Мбит/с,4.6
2018,%,равно или выше скорости 10 Мбит/с,5.6
2019,%,равно или выше скорости 10 Мбит/с,7.1
2020,%,равно или выше скорости 10 Мбит/с,8.8
2021,%,равно или выше скорости 256 Кбит/с и менее 2 Мбит/с,0.04
2021,%,равно или выше скорости 2 Мбит/с и менее 10 Мбит/с,4.6
2021,%,равно или выше скорости 10 Мбит/с,11.1
