Year,Value,Units,Series
2010,52.917,Micrograms per cubic meter [µg/m3],All area
2011,56.662,Micrograms per cubic meter [µg/m3],All area
2012,52.872,Micrograms per cubic meter [µg/m3],All area
2013,47.439,Micrograms per cubic meter [µg/m3],All area
2014,42.963,Micrograms per cubic meter [µg/m3],All area
2015,47.511,Micrograms per cubic meter [µg/m3],All area
2016,41.97,Micrograms per cubic meter [µg/m3],All area
2017,39.128,Micrograms per cubic meter [µg/m3],All area
2018,38.466,Micrograms per cubic meter [µg/m3],All area
2019,40.66,Micrograms per cubic meter [µg/m3],All area
2020,35.253,Micrograms per cubic meter [µg/m3],All area
2021,37.388,Micrograms per cubic meter [µg/m3],All area
2022,34.045,Micrograms per cubic meter [µg/m3],All area
2023,30.108,Micrograms per cubic meter [µg/m3],All area
2010,60.099,Micrograms per cubic meter [µg/m3],City
2011,64.869,Micrograms per cubic meter [µg/m3],City
2012,60.722,Micrograms per cubic meter [µg/m3],City
2013,54.279,Micrograms per cubic meter [µg/m3],City
2014,49.207,Micrograms per cubic meter [µg/m3],City
2015,54.62,Micrograms per cubic meter [µg/m3],City
2016,47.845,Micrograms per cubic meter [µg/m3],City
2017,45.017,Micrograms per cubic meter [µg/m3],City
2018,44.307,Micrograms per cubic meter [µg/m3],City
2019,46.7,Micrograms per cubic meter [µg/m3],City
2020,40.957,Micrograms per cubic meter [µg/m3],City
2021,42.816,Micrograms per cubic meter [µg/m3],City
2022,39.399,Micrograms per cubic meter [µg/m3],City
2023,34.882,Micrograms per cubic meter [µg/m3],City
2010,35.842,Micrograms per cubic meter [µg/m3],rural
2011,38.565,Micrograms per cubic meter [µg/m3],rural
2012,35.92,Micrograms per cubic meter [µg/m3],rural
2013,32.191,Micrograms per cubic meter [µg/m3],rural
2014,29.167,Micrograms per cubic meter [µg/m3],rural
2015,32.324,Micrograms per cubic meter [µg/m3],rural
2016,28.575,Micrograms per cubic meter [µg/m3],rural
2017,26.728,Micrograms per cubic meter [µg/m3],rural
2018,26.206,Micrograms per cubic meter [µg/m3],rural
2019,27.925,Micrograms per cubic meter [µg/m3],rural
2020,24.179,Micrograms per cubic meter [µg/m3],rural
2021,25.602,Micrograms per cubic meter [µg/m3],rural
2022,23.45,Micrograms per cubic meter [µg/m3],rural
2023,20.842,Micrograms per cubic meter [µg/m3],rural
2010,48.344,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2011,51.621,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2012,48.41,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2013,43.399,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2014,39.414,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2015,43.547,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2016,38.626,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2017,36.234,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2018,35.421,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2019,37.785,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2020,32.739,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2021,34.722,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2022,31.62,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2023,28.117,Micrograms per cubic meter [µg/m3],Town and semi-dense area
2010,55.163,Micrograms per cubic meter [µg/m3],urban
2011,59.205,Micrograms per cubic meter [µg/m3],urban
2012,55.482,Micrograms per cubic meter [µg/m3],urban
2013,49.482,Micrograms per cubic meter [µg/m3],urban
2014,44.765,Micrograms per cubic meter [µg/m3],urban
2015,49.419,Micrograms per cubic meter [µg/m3],urban
2016,43.599,Micrograms per cubic meter [µg/m3],urban
2017,41.063,Micrograms per cubic meter [µg/m3],urban
2018,40.152,Micrograms per cubic meter [µg/m3],urban
2019,42.462,Micrograms per cubic meter [µg/m3],urban
2020,36.771,Micrograms per cubic meter [µg/m3],urban
2021,39.064,Micrograms per cubic meter [µg/m3],urban
2022,35.483,Micrograms per cubic meter [µg/m3],urban
2023,31.531,Micrograms per cubic meter [µg/m3],urban
