Year,Value,Units
2015,579.9,"1,000 tons"
2016,523.4,"1,000 tons"
2017,499.0,"1,000 tons"
2018,363.0,"1,000 tons"
2019,273.8,"1,000 tons"
2020,260.0,"1,000 tons"
