Year,Value,Units
2020,5393.9,"person per 100,000 population"
2021,6253.3,"person per 100,000 population"
2022,3402.4,"person per 100,000 population"
2023,197.7,"person per 100,000 population"
2024,51.2,"person per 100,000 population"
