Year,Value,Units
2015,429.11,watt
2016,439.29,watt
2017,447.76,watt
2018,457.15,watt
2019,468.22,watt
2020,488.89,watt
2021,518.09,watt
2022,593.52,watt
2023,620.46,watt
2024,674.06,watt
