Year,Value,Units
2015,445.4,"per 100,000 population"
2016,506.6,"per 100,000 population"
2017,444.1,"per 100,000 population"
2018,436.4,"per 100,000 population"
2019,608.9,"per 100,000 population"
2020,5930.6,"per 100,000 population"
2021,6678.2,"per 100,000 population"
2022,4135.3,"per 100,000 population"
2023,740.4,"per 100,000 population"
2024,653.8,"per 100,000 population"
