Year,Units,Օրեր,Տարիք,Սեռ,Գտնվելու վայրը,Կատեգորիա,Value
2023-2024,hours,weekdays,,տղամարդ,,Unemployed,1.98
2023-2024,hours,weekdays,,տղամարդ,,Population outside the labour force,1.25
2023-2024,hours,weekends,,ընդամենը,,Զբաղվածներ,2.8
2023-2024,hours,weekends,,ընդամենը,,Unemployed,4.52
2023-2024,hours,weekends,,ընդամենը,,Population outside the labour force,4.1
2023-2024,hours,weekends,,կին,,Զբաղվածներ,4.45
2023-2024,hours,weekends,,կին,,Unemployed,6.4
2023-2024,hours,weekends,,կին,,Population outside the labour force,5.13
2023-2024,hours,weekends,,տղամարդ,,Զբաղվածներ,1.37
2023-2024,hours,weekends,,տղամարդ,,Unemployed,2.38
2023-2024,hours,weekends,,տղամարդ,,Population outside the labour force,1.38
