Year,Units,Value
2015,մեկ մլն. բնակչի հաշվով,1283.4
2016,մեկ մլն. բնակչի հաշվով,1230.5
2017,մեկ մլն. բնակչի հաշվով,1204.3
2018,մեկ մլն. բնակչի հաշվով,1139.8
2019,մեկ մլն. բնակչի հաշվով,1134.9
2020,մեկ մլն. բնակչի հաշվով,1177.8
2021,մեկ մլն. բնակչի հաշվով,1257.8
2022,մեկ մլն. բնակչի հաշվով,1267.0
2023,մեկ մլն. բնակչի հաշվով,1263.0
